Id;Name;Origin;Creation;Image
1;Abondance;France;01/01/1900;
2;Angors;France;01/01/1900;
3;Anneau du Vic-Bilh;France;01/01/1900;
4;Appenzeller;France;01/01/1900;
5;Beaufort AOP;France;01/01/1900;
6;Bergues Torchon;France;01/01/1900;
7;Besace Fermière;France;01/01/1900;
8;Bethmale;France;01/01/1900;
9;Bichonnet;France;01/01/1900;
10;Bleu d'Auvergne AOP;France;01/01/1900;
11;Bleu de Bonneval;France;01/01/1900;
12;Bleu de brebis;France;01/01/1900;
13;Bleu de chËèvre;France;01/01/1900;
14;Bleu de Gex;France;01/01/1900;
15;Bleu de la Chataigneraie;France;01/01/1900;
16;Bleu de laqueuille;France;01/01/1900;
17;Bleu des Causses AOP;France;01/01/1900;
18;Bleu du Val d'Aillon;France;01/01/1900;
19;Bleu du Vercors-Sassenage;France;01/01/1900;
20;Boulette d'avesnes;France;01/01/1900;
21;BrÈzain (Raclette fumÈe);France;01/01/1900;
22;Brie de Meaux AOP;France;01/01/1900;
23;Brie de Melun AOP;France;01/01/1900;
24;Brie de Nangis;France;01/01/1900;
25;Brillat-Savarin AOP;France;01/01/1900;
